id,text,misinfo,real
102,Charles de Gaulle aircraft carrier's marines have been cured from COVID-19 thanks to chloroquine.,1,0
103,"And COVID will just disappear, right?': Trump ridiculed for claim climate change will 'get cooler'",1,0
104,Having a dry throat will cause germs to enter one's body.,1,0
105,Are pools open in Guatemala? Can coronavirus be transmitted in a pool?,1,0
106,Two COVID-19 vaccines show promise in hopeful clinical trials,0,1
107,"In Vienna there are 10 children in hospital with a lung fungus infection, which they got because of face masks",1,0
108,"COMMENTARY: Dermatologist First, Businessman Second: Life During COVID-19",0,1
109,"Texas Leaders Talk Strained Hospitals, Cases Surge",0,1
110,What type of cells does the novel coronavirus attack?,0,1
111,Sun inactivates SARS-CoV-2 on the body,1,0
112,"According to the ""Plandemic"" documentary, the new coronavirus ""was clearly manipulated"".",1,0
113,"Trump, Calling Himself 'the No. 1 Environmental President,' Green Washes His Record",0,1
114,The use of a cloth mask for protection from COVID-19 can cause hypercapnia and cancer.,1,0
115,Gargling warm water with either salt or vinegar can eliminate coronavirus.,1,0
116,Ecuadorian government gives money to people from Venezuela.,1,0
117,"A headline: ""Latest News / Something Big is Happening in Europe.""",1,0
118,What Does Equitable Climate Policy Actually Look Like?,1,0
119,SARS-CoV-2 Testing Strategy: Considerations for Non-Healthcare Workplaces,0,1
120,"If masks were effective and necessary, non-mask wearers should be dead by now",1,0
121,How to Fight Global Warming: Electrify The Largest Vehicles on the Road,0,1
122,"Claims have recently surfaced in the blogosphere that an increasing number of scientists are warning of an imminent global cooling, some even going so far as to call it a ""growing consensus"".",1,0
123,"Australian television network 7 News accurately predicted coronavirus case numbers for the state of Victoria on Sunday, September 13.",1,0
124,Climate protesters shut down London airport (briefly),0,1
125,Joe Biden Defends Fundraising Off Oil Interests at Climate Change Town Hall,1,0
126,Best Climate Change News Ever  No More Coldplay Tours,1,0
127,Wainfleet flooding: Environment Agency defends response,0,1
128,Build Up an Xsan Environment for M&E Solution with Infortrend's SAN Storage,1,0
129,Madagascar president refused to take a $20m WHO bribe meant to poison the local drug from COVID-19.,1,0
130,Sci-fi tech tackles climate change with fake trees,0,1
131,New York City Filled With Road Signs Flashing Climate Warnings Including Climate Denial Kills,1,0
132,"A satellite map by the Royal Dutch Meteorology Institute (KNMI) showed lowered nitrogen levels since the coronavirus crisis, which would supposedly indicate nitrogen levels in the Netherlands are unrelated to the Dutch agricultural sector.",1,0
133,"Presidential debate live updates: Final Biden-Trump meeting covers coronavirus, race, climate chagne",0,1
134,First look at Snapchat Spectacles climate change docuseries filmed entirely on the smart glasses,1,0
135,Organizers for 100 local environment debates say leaders' event may derail plans,0,1
136,Prince Harry pays tribute to Prince Charles fight to save environment and vows to continue his work,0,1
137,The Paris Climate Discord Not in My Wallet,0,1
138,Trump administration sued over border wall waiver of environmental protections,0,1
139,Climate Warrior Biden Promises to Shut Down the US Oil Industry,1,0
140,Where does Coronavirus leave the fight against climate change? COP26 delayed until 2021,0,1
141,"How climate change is fueling record-breaking California wildfires, heat and smog",0,1
142,Alappuzha market in India closed due to discovery of COVID-19 positive patients in the area.,1,0
143,Contact Tracing: Frequently Asked Questions,0,1
144,The Drilldown: Alberta breached agreement with N.W.T. when suspending environmental monitoring,0,1
145,"Answering Your Coronavirus Questions: Blood, The Environment And A Family's Loss",0,1
146,"U.S. EPA chief defends big energy projects, says climate not top priority",0,1
147,"COVID-19 mortality rates are exaggerated by 20 times, according to test results in New York.",1,0
148,"A War Reporter Covers ""The End of Ice""  And It Will Change the Way You Think About Climate Catastrophe",0,1
149,Considerations for Monitoring and Evaluation of Mitigation Strategies Implemented in Institutions of Higher Education,0,1
150,"How to Clean and Kill COVID-19, But Avoid Harsh Chemicals",0,1
151,Trump Celebrates Earth Day By Praising Rollback Of Environmental Protections,0,1
152,Adoption of Strategies to Mitigate Transmission of COVID-19 During a Statewide Primary Election - Delaware,0,1
153,Obama Tries to Link Fires on West Coast to Climate Hoax; He Gets Shut Down,1,0
154,"Try this Earth-friendly diet: How to shop, cook and eat to fight climate change",1,0
155,Climate rip off: Follow the money trail,1,0
156,"Ambulance health care workers are transporting a coronavirus patient in The Hague (The Netherlands), dressed in white protective suits.",1,0
157,The Simpsons predicted the epidemic.,1,0
158,Spices Recalled Over Salmonella Fears,0,1
159,How climate change plays a key role in weather extremes and wildfires,0,1
160,All U.S. citizens are entitled to $700 per week to stay at home to avoid spread of coronavirus.,1,0
161,Another climate scientist breaks ranks: 'Our models are Mickey-Mouse mockeries of the real world',1,0
162,The Angle: Candidates Are Finally Talking About Climate Change. What Now?,0,1
163,How climate denialism was mainstreamed in Australia,0,1
164,"Trump Deals Final Blow To Clean Power Plan, Obama's Signature Climate Policy",0,1
165,Politicization inadmissible while addressing climate change problems  Putin's envoy,0,1
166,"Jane Fonda Takes Break from Acting, Moves to Washington to Become Climate Activist",1,0
167,The Office of the President of Ukraine announced the toughening of the COVID-19 response measures starting from August 24.,1,0
168,"Australia's 'failing' environmental laws will fuel further public health crises, Nobel laureate warns",0,1
169,Mumbai city's municipal body asks people to drink boiled water as a remedy to coronavirus.,1,0
170,Doctor Vandana Tiwari who was a part of COVID-19 team was killed in a violence at Uttar Pradesh.,1,0
171,On the frontline: why has environmental journalism become so dangerous?,0,1
172,CDC Gives New Recommendations to Safely Reopen Amid COVID-19,0,1
173,VIDEO PRESIDENT TRUMP Asked About Climate Change After Inspecting Wildfire Zone His Answer Was No,1,0
174,Oil and gas companies investing 40bn in projects that 'undermine' fight against climate change,0,1
175,Climate change: Antarctica experiences record-high temperature of more than 18C,1,0
176,In Europe even conservative governments leave Australias climate policy in the dust,0,1
177,"A fighter aircraft crashed in Tenjin, China. It failed to defect from China.",1,0
178,Mass SARS-Cov-2 testing does more harm than good.,1,0
179,"After the Brazilian Ministry of Health started using an early stage chloroquine protocol, the number of patients recovered from COVID-19 increased.",1,0
180,Guidance for Kids to Return to Sports Amid COVID,0,1
181,Energy efficiency: the missing piece in the UK's climate crisis conversation,0,1
182,Healthcare Provider and Facility Guidance for Non-US Settings,0,1
183,Climate change Can 12 billion tonnes of carbon be sucked from the air,0,1
184,Allowances of Members of Parliament in India have been increased by 49 thousand rupees during the pandemic.,1,0
185,Screenshots circulating on Twitter and Facebook say the Nigeria Centre for Disease Control spent N1 billion (US$2.7 million) on sending text messages to educate Nigerians about COVID-19.,1,0
186,Chapter Books Rewritten to Reflect the Catastrophic Effects of Climate Change,0,1
187,"High-level trolling? Greta Thunberg could be a Russian puppet, climate skeptic AfD",1,0
188,Why Do Black Men Fare Worse With Prostate Cancer?,0,1
189,It's Just The Weather': Meteorologist Fact-Checks Ocasio-Cortez On Climate Change,1,0
190,"In the Fight Against Climate Change, Not All Forests Are Equal",0,1
191,Indian's Ruling party BJP-run state Manipur is India's first coronavirus free state.,1,0
192,There is a person with coronavirus in Galicia on 2/4/20.,1,0
193,"Fact Check: No, CNN, Hurricane Dorian is Not Evidence of Climate Change",1,0
194,A spray could protect against the coronavirus outbreak.,1,0
195,EU's 'Climate Funding' Con Revealed,1,0
196,Joe Biden mocked for claiming to have started the climate change movement (VIDEO),1,0
197,"US is hotbed of climate change denial, major global survey finds",0,1
198,Bloomberg gives 45 million to help US keep Paris climate accord commitment,0,1
199,"Because of a WHO clause, Dutch primary schools are allowed to vaccinate children without their parents' consent.",1,0
200,The coronavirus outbreak is over in China.,1,0
201,"You should leave your shoes outside, as they carry the virus.",1,0
202,Rubio warns Trump a border emergency could embolden a future Dem president on climate change,0,1
203,Europe's Green Deal on climate change failed its first test,0,1
204,Chickens cause coronavirus.,1,0
205,Do You Need to Wear Goggles to Stay Safe from COVID-19?,0,1
206,How conservatives can embrace sensible environmentalism: An interview with Joshua Spodek,1,0
207,COVID Vaccine Tested in People Shows Early Promise,0,1
208,"Deaths caused by pneumonia, strokes and heart attacks are being registered as COVID-19 deaths",1,0
209,"Climate, Science and Mother Earth: Second Open Letter to Greta Thunberg",1,0
210,Environmentalists condemn moorland burning on grouse shooting estates,0,1
211,Family starving for food commits suicide in India during lockdown.,1,0
212,East Biloxi Loses Iconic Climate Activist,0,1
213,Irish agriculture 'greenwashing' its climate impact  An Taisce,0,1
214,"Indian Ministry of Tourism issued a notification that all hotels, restaurants, pubs etc will be closed till 10/1520. The notification further states that specifically north Indian restaurants should be closed till the given date else legal action will be taken against the owner of the restaurant.",1,0
215,"Sea ice continued its declining trend, both in the Arctic and Antarctic.",0,1
216,Surge in young Republicans worried about the environment: survey,0,1
217,"Climate change is making horses overweight, says leading vet",0,1
218,California's greenhouse gas emissions rose slightly in 2018,0,1
219,Forbes magazine ranked Tunisia as the most important tourist destination in the world after the Covid-19 crisis.,1,0
220,An American pastor said that just 6 per cent of covid deaths can be directly attributed to the virus.,1,0
221,Meet the robot taking its sweet time to monitor our climate,1,0
222,Five helicopters will disinfect the Netherlands to extinguish the coronavirus. Citizens have to stay inside.,1,0
223,Indian Actor Aamir Khan gives Rs. 15000 to poor people in 1Kg wheat flour.,1,0
224,The strain of COVID in Iran was engineered by 'Zionist' scientists,1,0
225,Climate crisis: Fossil fuels' impact on planet 'vastly underestimated',1,0
226,New Zealand Activist Flies Flag of Environmental Revolution With Election Run,0,1
227,"Misinformation, Disagreement Hinder COVID Messaging",0,1
228,"Georgia has ""almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.""",0,1
229,Morning Brief: Pipelines and environmental policies,0,1
230,A man in Italy killed himself after he lost his family to the coronavirus.,1,0
231,Dodgers' Justin Turner Pulled After Positive Test,0,1
232,"Dr Mikovits, an established scientist, revealed that Dr Anthony Fauci was paid to cover up the extent of the problem caused by COVID-19. Also she revealed that SARS-CoV-2 was created in a lab and that influenza vaccines increase COVID-19 mortality by 36%.",1,0
233,Bill Gates: 'Climate Change' Deaths Will Match COVID-19's In 40 Years  Claims COVID's 'misery' will 'happen regularly' if climate change is not stopped,1,0
234,The consensus among scientists and policy-makers is that we'll pass this point of no return if the global mean temperature rises by more than two degrees Celsius.,0,1
235,"UK, USA have asked Indian Prime Minister Narendra Modi to lead a task force to tackle coronavirus.",1,0
236,"Tedros Adhanom Ghebreyesus, Director-General of the WHO, is against social distancing.",1,0
237,"Casten, Ives spar over COVID-19 relief, climate change in debate",0,1
238,"An article shared more than 14,000 times on Facebook claims the Nigerian government gave N20,000 ($52) to ""everyone"" across the country's 36 states.",1,0
239,Supreme Court's minister decided States and cities cannot create legislation in order to avoid people from getting out of isolation,1,0
240,Boost For Keir Starmer As Labour's Environment Campaign SERA Backs Leadership Bid,0,1
241,"Men in Vellore, Tamil Nadu are violating lockdown by offering namaaz in a Mosque.",1,0
242,Idaho Lawmakers Are Trying Again To Scrub Climate Change From Education Standards,0,1
243,"'Collective failure' to limit greenhouse gas emissions needs urgent response, UN warns",0,1
244,Weatherwatch: climate change brings misery for hay fever sufferers,0,1
245,Pointed debate question on climate change draws out starkly different views from Oregon governor can,0,1
246,"The 3 year old son of the Puerto Rican artist Luis Fonsi, Rocco Rodrguez Lpez, has died of COVID-19.",1,0
247,Joe Biden rolls out $2 trillion climate plan promising 'an equitable clean energy future',1,0
248,Governor wants Pennsylvania to join greenhouse gas reduction program,0,1
249,"Says President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, 'Slow the testing down.'""",0,1
250,Side Effects Halt Use of Chloroquine Vs. COVID-19,0,1
251,Trump replacement for Obama climate plan worse than doing nothing  study,0,1
252,Managing the COVID-19 infodemic: Promoting healthy behaviours and mitigating the harm from misinformation and disinformation,0,1
253,Trump Details Machine to Decontaminate N95 Masks,0,1
254,"A picture shows two man holding a coffin. The caption says that, if the coffin was full, they would not be able to lift it.",1,0
255,"The coronavirus pandemic is ""effectively over"" in the United Kingdom and ""there is absolutely no need for vaccines.""",1,0
256,"Arctic heat wave ""essentially impossible"" without climate change",0,1
257,"If you have symptoms of Covid-19, take azithromycin, ivermectin and acetylcysteine.",1,0
258,American CDC admitted that coronavirus originated in the U.S. Many COVID-19 patients were misdiagnosed as coronavirus.,1,0
259,'Nothing has been done:' Greta Thunberg slams Davos on climate change,0,1
260,"COVID-19 was invented and patented years ago by the Institut Pasteur, a French medical research center",1,0
261,American Vice-President Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,1,0
262,Last decade was Earth's hottest on record as climate crisis accelerates,0,1
263,Global Warming Hardliner Taylor Swift Sells One of Her Two Private Jets,1,0
264,"White House to select federal scientists to reassess government climate findings, sources say",0,1
265,Antibody from SARS survivor's blood neutralizes new,0,1
266,Coronaviruses: How long can they survive on surfaces?,0,1
267,Chinese nationals in Kenya were burnt out of fear of coronavirus,1,0
268,Study Confirms It's Possible to Catch COVID Twice,0,1
269,WHO Official Michael Marmot : Coronavirus Reveals What Is Possible for Climate Restrictions  'Revealed what governments are capable of doing'  Will 'socialize the economy',1,0
270,"The coronavirus is in Arezzo, a city in Tuscany, Italy.",1,0
271,Discussion between a patient and a doctor about the reality of epidemic in France and the dangerosity of masks,1,0
272,"Your odds of correctly guessing the outcome of a flipped coin are 1 in 2, but your odds of guessing correctly twice in a row are only 1 in 4 ",0,1
273,"Shorter lifespan of faster-growing trees will add to climate crisis, study finds",0,1
274,"Coal comeback? Trump plan breathes new life into aging power plants, but critics say climate will suffer",0,1
275,Climate change will be the subtext of the State of the Union. It should be the headline.,0,1
276,Real Climate Change Solutions Are in Reach,0,1
277,Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,1,0
278,Jair Bolsonaro tested positive for COVID-19.,1,0
279,PM Modi on 4/2/20 announced extension of a nationwide lockdown until 5/4/20.,1,0
280,"Teresa Rodrguez, Andalusian left-party leader, wants to ""take savings from citizens"" to create a public bank.",1,0
281,"Guatemala's president said that he decided to reduce the curfew time after a meeting with ""the asociation of infectious disease specialists""",1,0
282,"France's new climate plan: Ban supermarket chains, Ban gas-powered cars, Ban TV/radio/print ads for products that generate CO2",1,0
283,Economic stakes high but meat's impact on climate undeniable,0,1
284,"A celebration in Belgium of the Tunisian doctor, Mohamed Mourad, after recovering from the novel coronavirus, which he contracted while working at a hospital in Brussels.",1,0
285,"Swansea University has climate of fear, sacked vice-chancellor claims",0,1
286,Reopening Guidance for Cleaning and Disinfecting Public Spaces Workplaces Businesses Schools and Homes,0,1
287,'The earth is on fire': Young people lead global climate change protests,0,1
288,Climate change most likely cause of woolly rhino extinction  study,0,1
289,When You Can be Around Others After You Had or Likely Had COVID-19,0,1
290,People are pillaging a bank in Colombia as an effect of the lockdown.,1,0
291,No-deal Brexit threatens 'innumerable problems' for environmental projects,0,1
292,Trump announced that Roche Medical Company will launch a vaccine to cure COVID-19 in 3 hours.,1,0
293,CROI Goes Digital After COVID-19 Cases Rise in Boston,0,1
294,Scientists wear hazmat suits to protect themselves from deadly viruses so masks are not effective against COVID-19,1,0
295,Allegations that garlic and a cold shower helps to avoid COVID-19.,1,0
296,COVID-19 existed before 2019.,1,0
297,How Siberian horses became an unlikely climate hero in the Arctic,1,0
298,Disparities in COVID-19 Incidence,0,1
299,"'Climate apartheid': Rich people to buy their way out of environmental crisis while poor suffer, warns UN",0,1
300,Tire repairer who died in a work accident was included in the death figures for COVID-19.,1,0
301,Colombian President Ivan Duque is one of the leaders who best faced the COVID-19.,1,0
302,Europe set to suffer as climate change brings mosquito threat,0,1
303,How 2020 Democrats plan to fight climate change,0,1
304,"Ginger, honey, onion and aspirin recipe cure COVID-19.",1,0
305,Debunking Claims that Climate Change Spreads Viruses,1,0
306,NBC Joins Effort By Left-Wing 'Journalists' to Push Climate Activism,1,0
307,COP25: Longest climate talks end with compromise deal,0,1
308,Roma streets are filled with bird corpses because of coronavirus poisoning in the air.,1,0
309,COVID Surges Among Young Adults,0,1
310,Alkaline water cures the coronavirus.,1,0
311,Climate Change Has Finally Broken Through,0,1
312,Germany refused to take any help from China.,1,0
313,COVID-19 frontline healthcare workers at risk of mental health problems,0,1
314,The 10+ Best Environmental Films Of All Time,1,0
315,Greens to use EU election mandate to focus on climate crisis,0,1
316,"28-year-old Dr Manisha Patil from Maharashtra died yesterday due to coronavirus. Manisha had examined 188 people and helped them recover, but she could not save herself from coronavirus.",1,0
317,Get your copy! Best-Selling Book: The Politically Incorrect Guide to Climate Change  Updated With Bonus Chapter on Green New Deal,1,0
318,Earth Day grew from a single protest into a worldwide environmental movement  and it offers some lessons for handling the coronavirus pandemic,0,1
319,"Chinese pet owners are killing their cats and dogs by throwing them out of the window, in fear of their pets spreading the coronavirus. This comes after memos were issued by authorities for pet owners to get rid of their animals.",1,0
320,Guidance for Reopening Buildings After Prolonged Shutdown or Reduced Operation,0,1
321,Republicans Denying Climate Change Dont Deserve Public Office,0,1
322,"Texas and Florida have a ""balanced budget"" while California is ""in debt $54 billion and New York is ""in debt $6.1 billion.""",1,0
323,Social media users claim that six children have died in Germany because of the mask,1,0
324,"COVID-19 can be cured within 12 hours by taking a combination of hydroxychloroquine, which is used to treat malaria, and 'zpac', which is an antiobiotic called azithromycin.",1,0
325,Indian PM Narendra Modi has been selected as new chairmant of WHO.,1,0
326,"Canada warming at twice the global rate, climate report finds",0,1
327,The Model For Joe Biden's Climate Justice Pledge Is Already Facing Problems,0,1
328,Fingerprint' of the climate crisis in flooding that has left a third of Bangladesh under water,1,0
329,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1,0
330,A First Step in Assessing Proposals to Address Climate Change,0,1
331,Donald Trump's Flippant Dismissal Of Climate Science Receives The Treatment On Twitter,0,1
332,Demonstrations against Chinese people in Italy.,1,0
333,The WHO says the coronavirus might be spread by food.,1,0
334,3 regions that would be 'big winners' with global warming,1,0
335,"After Fighting Plastic in 'Paradise Lost,' Sisters Take On Climate Change",0,1
336,Extinction Rebellion: London climate protest 'ending on Thursday',0,1
337,Nurses resigned due to COVID-19 because Jamati patients misbehaved with them.,1,0
338,"A deep nose swap for a PCR test causes injuries, infections and diseases",1,0
339,"Grand Ayatollah Ali Sistani, a top Shiite leader in Iraq, met with a crowd of worshippers on an Islamic holiday despite the risk of coronavirus infection.",1,0
340,Russia Rejects Climate Change Plan After Business Uproar,0,1
341,Irrefutable Footage of Climate Engineering via Chemical Spraying,1,0
342,The Chinese vaccine candidate can cause genetic damage and homosexuality,1,0
343,Dont despair climate change catastrophe can still be averted Simon Lewis,0,1
344,Trump Admin Guts Endangered Species Act in the Midst of Climate Crisis and Biodiversity Loss,1,0
345,Pfizer Begins COVID-19 Vaccine Trial in Teens,0,1
346,Ethiopia 'breaks' tree-planting record to tackle climate change,0,1
347,People with eating disorders negatively affected by lockdown,0,1
348,Commentary: President Trump's Overhaul of Stifling Environmental Regulations Clears the Way for Infrastructure Projects Nationwide,1,0
349,A person named Richard A. Rothschild filed a patent for novel coronavirus tests in 2015.,1,0
350,The NHS produces 5.4% of the UK's greenhouse gases. How can hospitals cut their emissions?,0,1
351,"Ghana's leading biomedical research institute, Noguchi, approves COA FS, a Ghana-made food nutritional supplement, to fight the coronavirus.",1,0
352,"Coronavirus lives on the hands for 10 minutes, so putting a sanitizer in the pocket meets the purpose of prevention: UNICEF.",1,0
353,"Deputy of the Movement to Socialism (MAS) in Bolivia, Juana Quispe Ari: USA created the anthrax disease.",1,0
354,WHO said coronavirus is losing potency.,1,0
355,Boris Johnson unveils 1.2bn for climate and endangered species,0,1
356,UN adjusting past data: 'Magnitude of claimed global warming since the mid-1800s has tripled in the last few years'  IPCC Claimed 0.6C Warming From 1861-2014 But Now Claim 1.72C Warming From 1850-2015,1,0
357,"The most notorious was 252 million years ago; it began when carbon warmed the planet by five degrees, accelerated when that warming triggered the release of methane in the Arctic, and ended with 97 percent of all life on Earth dead.""",0,1
358,"On Feb. 7, several major newspapers carried stories of the declaration by NASA and NOAA that the past five years have been the warmest on record.",0,1
359,COVID-19 Deaths in Italy a Lesson for the US,0,1
360,Alexandria Ocasio-Cortez Rips Rand Paul Over GOP's 'Spaceballs' Climate Agenda,0,1
361,COVID-19 could directly affect the heart,0,1
