id,text,negative,neutral,positive
28,"@SouthwestAir 4/9/14, I need to fly from GSP to DSM, but claims there's no sched. avail.  I can book separately, but why not together?",1,0,0
29,"@USAirways Yes, it was Sunday.",0,1,0
30,@SouthwestAir Southwest Airline is THE way to go!,0,0,1
31,@JetBlue what's good with a Miami terminal?,0,1,0
32,@JetBlue Airways Sees Significant Decline in Short Interest (JBLU) - WKRB News http://t.co/lZFGUTxIYN,0,1,0
33,@united flights taking off from IAD this afternoon?,0,1,0
34,@JetBlue *fights air*,1,0,0
35,"@SouthwestAir 4 hour delay in ATL due to ""air traffic control""....love missing an entire day of my vacation #unhappycustomer #mytimeismoney",1,0,0
36,@united I hope so too,0,1,0
37,@united yes I did. Terrible service from your courrier,1,0,0
38,@SouthwestAir been on hold for an hour. I need to rebook my flight that was Cancelled Flighted! #help,1,0,0
39,@JetBlue Can I bring a compact folding chair like this in a checked bag? http://t.co/9nivw9ftZw,0,1,0
40,@SouthwestAir thank you for the response. How can I got about getting the points onto my rewards account?,0,1,0
41,@AmericanAir any delays on tonight's flight from DFW to SAT? I have family members on board.,0,1,0
42,@AmericanAir my return flight is scheduled on Wednesday; AA138 I believe.  Thanks for the help!,0,0,1
43,"@USAirways 5 hr flight delay and a delay when we land . Is that even real life ? Get me off this plane , I wanna go home 👠👠👠 (3 heel clicks)",1,0,0
44,@USAirways Thanks guys! Got hold of someone. Really awesome service I appreciate it :),0,0,1
45,"@USAirways - flights 4500 AND 403 delayed for ""crew availability?""  What gives? I'm getting to TPA 2.5 hrs past my scheduled arrival.",1,0,0
46,@united I am going to a service desk now to see what the options are.,0,1,0
47,@SouthwestAir answered. My options are a refund or a resched for Monday (I'd miss work). So I'm paying hundreds for a @USAirways flight tmw.,1,0,0
48,"I will, if you can show me where this new program is beneficial to your longstanding loyal consumers... @united",1,0,0
49,@AmericanAir @Expedia are killing me. Over 3 hours to get NO human to help me.,1,0,0
50,"@AmericanAir she was rude, unprofessional,  not helpful in helping me try and get home. As a #aaadvantage #loyal aa customer dissatisfied!",1,0,0
51,@united Is it customary to upgrade a flight attendant in uniform vs passengers? One is in 1B on flt 1020 now to IAH,1,0,0
52,@JetBlue There's just so many choices for y'all south of the border and I know not every airline is equal - lowest price != best value. ;),0,0,1
53,"@USAirways after 2 hrs of trying to reach real human, finally did and been on hold for 1:36 hrs for out of synch reservation.",1,0,0
54,@USAirways how about a little help for the two gate agents trying to rebook flight 1707?,1,0,0
55,"@AmericanAir complt incompetence on flt 295.Lav delay from a pln that lnded last nite, no internet and poor svc. Not what I expect from u.",1,0,0
56,@JetBlue do you have direct flights to and from Bos to St Lucia or Antigua?,0,1,0
57,@AmericanAir #AATeam thanks for working in very rigorous weather conditions for all,0,0,1
58,@USAirways How can I speak to a human? Need 2 find bag delayed 2/21. Website and 800 # are telling me 2 different things! Got hung up on 2x,1,0,0
59,"@JetBlue When it's 30 mins past scheduled time w/ no departure in sight a flight no longer qualifies as ""on time"" #updateyourwebsite #489",1,0,0
60,@AmericanAir after all that weve been through today as a courtesy to not allow a passenger with an oxgen tank sit up there is bad business,1,0,0
61,Welllllll.... RT @JetBlue: Our fleet's on fleek. http://t.co/dHHomG2kiX,0,1,0
62,@SouthwestAir my flight was Cancelled Flightled Monday.  Just looking to Cancelled Flight and credit my card.  That's all.,1,0,0
63,@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,1,0,0
64,@USAirways - HA! flight to CTL delayed! Going to miss connection. Can you please transfer me to another airline asap? http://t.co/1XdLbiBClP,1,0,0
65,@SouthwestAir ohk. Thank You!!! B/C of the inexpensive airfares that Southwest has I can now travel around.,0,0,1
66,@united any help is appreciated. That's a LOOONG wait for help on something that's not his fault,1,0,0
67,@USAirways I have been trying to book a flight using my miles for 3 straight days. 210 min on phone - still haven't talked to a human.,1,0,0
68,@SouthwestAir when will airfare be available through December of this year? I have 2 major trips coming up and I'm anxious to book them!,1,0,0
69,"@USAirways that's incorrect. Four people, last flight of the night, with our bags. #horriblecustomerservice",1,0,0
70,@SouthwestAir surprise surprise more delays. Seems to be the norm.  Broken down equipment.,1,0,0
71,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice,1,0,0
72,@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace,0,0,1
73,@USAirways can I at least get a response?  I tried the gate person (sent me the wrong way to cust srvc ) Cust Srvc (when I found them),1,0,0
74,@USAirways strikes again. @emilylyonss  I strongly suggest you live tweet your ordeal. Their media team appreciates the updates 😎,1,0,0
75,@united What does delayed due to Customer Service mean for UA761?,1,0,0
76,"@SouthwestAir hi guys, do you have a general enquires email address please? Thanks David.",0,1,0
77,@united thanks for causing us to miss our connection and now a 6hour delay #flydeltanexttime,1,0,0
78,"@AmericanAir Hey you Cancelled Flightled my flight, and I can't get someone on the phone to rebook (2 hour wait minimum). Can I get some service?",1,0,0
79,@SouthwestAir LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove,0,0,1
80,"@united it was an international flight, and we didn't get our new eta until we were in the air.",1,0,0
81,@USAirways I have never been given a number for elite for usair. Only AA. I waited for 3 hours for an answer and by then my seat was gone.,1,0,0
82,@SouthwestAir WiFi on yesterday's flight extremely slow a waste of $8 and lost the travel time for work.,1,0,0
83,@AmericanAir thanks 😩. idk if it still Late Flight but I hope I get it tonight 😭,0,0,1
84,@JetBlue I spent over an hour of my morning on hold w/ your customer support. I want my confirmed flight to be taken care of,1,0,0
85,@USAirways hey folks where do you hide luggage when you Cancelled Flight a flight! You have 100 very angry people with no luggage,1,0,0
86,@JetBlue I waited in line all that time to be told by a crewmember that there's no update until 9:30 #3HrDelay #disappointed,1,0,0
87,@SouthwestAir no. Told to call cust service on monday,1,0,0
88,@SouthwestAir I've DM'd you. Thanks!,0,0,1
89,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,0,0,1
90,@USAirways but question :  if the downgrade include losing first class do you get money back ? http://t.co/LfT7QD23Sy,0,1,0
91,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.,1,0,0
92,@JetBlue why won't the site let me book tickets for nov for jfk to kin?,1,0,0
93,@SouthwestAir looks like my 1 yr anni trip has been replaced w someone's itinerary. Worried abt who can c my flight http://t.co/BApE6RuMNE,1,0,0
94,@SouthwestAir sitting in Newark because flight 4179 was Cancelled Flightled for no apparent reason.  All I was told was sorry after 2.5 hrs waiting,1,0,0
95,"@USAirways   US AIRWAYS DON'T CARE FOR CUSTOMERS. Worst experience today with US airways.. Myself, wife and toddler",1,0,0
96,"@USAirways car services to and from the hotel, food, hotel cost bc of Cancelled Flightlations fall on the customer with last minute notifications",1,0,0
97,@JetBlue Only wish your ground operation was as expedient as your Twitter response team! Delay just got extended!,1,0,0
98,@AmericanAir booked AA3370 departing JFK 2/25/15. It was booked via BA and I want to change my FF# to AA can you do that for me via Twitter?,0,1,0
99,"@USAirways help! Flight Cancelled Flighted, can't call because my phone doesn't work in Europe. Please help? Says I'm booked want to confirm.",1,0,0
100,@SouthwestAir yep. 99.99999999% certain it was on that flight.,1,0,0
101,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,0,0,1
102,@USAirways can you help me reroute my trip?,0,1,0
103,@JetBlue Awesome! #bestairlineever,0,0,1
104,"@JetBlue If that was the case, why did your alert arrive so Late Flight? Four-hour delay? Don't buy it.",1,0,0
105,@united On last flight of the day no less. I am now driving 4 hours to Aspen thru a snowstorm Thx to your teams lack of customer empathy,1,0,0
106,@united so disgusted and disappointed with united airlines luggage policies and attitude toward musicians. Unacceptable,1,0,0
107,@JetBlue thanks anyways @SouthwestAir has my back! Awesome rate &amp; amazing customer service #nomoreaggravation,0,1,0
108,@USAirways since when does a maintenance problem and missing flight crew equal delayed due to weather? I'm confused since we had sunny skies,1,0,0
109,"@VirginAmerica Anytime, sugafly.",0,1,0
110,@united What is your phone number. I can't find who to call about a flight reservation.,1,0,0
111,@united with Karen and found her unhelpful and rude  called United at the time &amp; told she could board but Karen would not accept,1,0,0
112,@USAirways @PRof_Solutions Be prepared for 3+ hours hold times,1,0,0
113,@JetBlue real shit my nigga north don't play around!,0,1,0
114,@USAirways flight 437 PHX&gt;ORD.  Lead FA Bill is the most professional FA I have seen in 9 years of flying USAir. I have no AB cards. :-(,0,0,1
115,"@united ok, I have that, pretty sure I had it before too but will wait and see what happens....",1,0,0
116,"@JetBlue flt1533 to Carta what is goin on?! 1st told plane coming from hangar, then gate change, now no one knows wat plane we're getting on",1,0,0
117,"@united Arriving 25 minutes early is nice, but not if equipment isn't ready. Waiting 30 minutes for luggage, so far. Time gains wiped out.",1,0,0
118,@southwestair after 4 hours of delays you did make a nice offer for rescheduling me the next day... but...,1,0,0
119,@JetBlue just learning about your famous apology in social media marketing. Is Twitter an asset for Jet Blue now? @PhD_Mama_,1,0,0
120,@AmericanAir first my sister had ZERO food in her cross country flight with no type of warning or voucher,1,0,0
121,@JetBlue hope so! looks nice and warm in San Juan 🌴,0,1,0
122,@JetBlue 4 hr delay on flight to JFK via Tampa &amp; worst customer service in San Juan airport. This after app not working all day.,1,0,0
123,"@SouthwestAir open seating is like an open marriage, there's so much love for strangers!",0,0,1
124,@USAirways US 728/Feb 21. Arrive 7 hrs Late Flight; checked car seat missing. No replacement available. Has yet to arrive more than 24 hours Late Flightr.,1,0,0
125,@united doesn't purchasing ticket with a united card give me priority boarding ?,0,1,0
126,@united I was on UA3782 and it was Cancelled Flightled. I'm waiting at customer service.,1,0,0
127,"@AmericanAir Cancelled Flighted flights, now I'm rerouted and have over 12 hrs of travel but you will bump paying customers for non revs. #custserv",1,0,0
128,@united #albanyairport delayed departure to check bags at gate claiming space filled and walk on to open spaces a delay #poorcustomerservice,1,0,0
129,@united @MaxAbrahms *if* he needs assistance? Do you expect him to go on a Scooby Doo tour of terminals until he finds his stuff?,1,0,0
130,@united I'm desperately trying to understand how my girlfriend is being treated with this Cancelled Flightled/delayed flight.  #unacceptable #ORD,1,0,0
131,@JetBlue my son left his iPad on flight 1401 from JFK to FLL on Monday. I called and left message and have no heard back. Seat 25A.,1,0,0
132,@USAirways 4473.  She just called to say it's a runway clearing problem of all things.,0,1,0
133,@JetBlue @hanneslohmann cool,0,1,0
134,@JetBlue lolol @s_myc88,0,0,1
135,@USAirways there is nothing tonight and I am on the flight now with GOGO internet is there a way that someone could send me a DM or email?,0,1,0
136,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",1,0,0
137,"@USAirways rant cont... To top it all off, rescheduled flight to TPA at 10:10 is already delayed. How can they be that bad?",1,0,0
138,"@united thanks for the link, now finally arrived in Brussels, 9 h after schedule...",1,0,0
139,@united It appears there are six flights to Calgary tomorrow is this correct?,0,1,0
140,@united your system is down and after being on hold for over 20 mins -Mia tells me she is going to charge a Flight Booking Problems fee?! Customer service?,1,0,0
141,@SouthwestAir sure can! Just a second.,0,1,0
142,@USAirways your customer service is horrendous. Between the way employees speak customers and their lack of care for problems with flights.,1,0,0
143,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW",1,0,0
144,@AmericanAir I Cancelled Flighted my flight. I really don’t need this much trouble.,1,0,0
145,@USAirways I would be on my way but   wether has delayed yet again.. Love the Charlotte ice storm!!  Good luck with mad customers,1,0,0
146,@SouthwestAir this is ridiculous. It's been 2 hours on hold to rebook Cancelled Flightled flight.,1,0,0
147,@JetBlue thanks!!,0,0,1
148,@united 777 from SFO to HNL with ZERO entertainment systems???!!!#youareonyourown,1,0,0
149,@JetBlue That's not what I heard. Weather was fine this morning. Flight 136 was circling for some time.Someone forgot to clean the runway.,1,0,0
150,"@usairways trick for getting into your hold queue?  I've been calling since Thursday and keep getting the ""call back Late Flightr"" message",1,0,0
151,"@united thanks for delaying our flight for an hour, missing our connecting flight and terrible customer service. #neveragain #vacation",1,0,0
152,@united ...would be on the next flight to Hayden/steamboat,0,1,0
153,First base already? I like your style @JetBlue,0,0,1
154,@USAirways well I thought they had hours ago but just found out that no I do not have a seat,1,0,0
155,@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. Done flying #UnitedAirlines.,1,0,0
156,"@USAirways 100 feet from the gate at PHL, but no ground crew. You can't make this up.",1,0,0
157,@SouthwestAir can you please make sense of the companion promo? How to we set it up?,0,1,0
158,@SouthwestAir my bday was yesterday and my girl gave birth to my first born and I couldn't get a courtesy flight change from Lynn... THANKS!,1,0,0
159,"@USAirways to CLT from JFK nasty planes, dirty seats &amp; floors, rude flight attendants- hopefully AA can get you cleaned up #disgusting #vile",1,0,0
160,@SouthwestAir Plz consider customers you're losing to #AA for 🚫 the KC ↔️ OKC directs. #okcdirects #OKC #MCI #flights #okcprofessionals,0,1,0
161,@VirginAmerica Your planes are really pretty. Just thought u should know that. :),0,0,1
162,His name is Enzo 😊 RT @JetBlue : @Setorii Well hello there pooch! What's your name? #dog http://t.co/dLh9138HBg,0,1,0
163,@JetBlue such a bummer.  But I understand it's a business deal. Thanks for answering me!  Much less sad now.,0,1,0
164,@USAirways with this livery back in the day. http://t.co/EEqWVAMmiy,0,1,0
165,"THANKS to @SouthwestAir , I get to go to the #DestinationDragons @Imaginedragons show this weekend in UTAH @VelourLive  !!! #ThankYou",0,0,1
166,@USAirways just called reservations.  Cannot change just able to put note on res.  Problem is tsa...,1,0,0
167,"@united that's what you have said for years, you are losing customers!!!!!!",1,0,0
168,@AmericanAir Thank You! CC: @packermama1,0,0,1
169,@USAirways @PHLAirport we don't control your stupidity in not having room to have a plane come in. You better not mess with us now.,1,0,0
170,@united  Thank you for a wonderful global first class flight on your 777 to FRA. Great service. (cont) http://t.co/46n9kDcsxU,0,0,1
171,@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.,1,0,0
172,@southwestair #fattuesday Great job celebrating #mardigras today at Atlanta Airport. Another reason I'm nuts for you! http://t.co/8WBzOrRn3C,0,0,1
173,@JetBlue Sure did go south after breakfast though! Delayed three hours. :( :( :(,1,0,0
174,@JetBlue I tried a burger which was good but expensive! Were lead to believe that food in the USA is cheap butnot here!,1,0,0
175,@AmericanAir so whats the hold up on flight 4302?,0,1,0
176,@USAirways &amp; @AmericanAir what are your weight restrictions for carry on luggage? Can find measurements but not weight restrictions. TIA,0,1,0
177,@SouthwestAir on hold for over an hour twice?  Terrible.,1,0,0
178,@SouthwestAir almost at the gate for 1156 to SF. Please wait 60 more seconds.,1,0,0
179,@united Pay for my hotel.... I'm a broke student #help,1,0,0
180,@united @annricord $856.81 the cost of one of the round trip tickets.,1,0,0
181,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",0,0,1
182,"@JetBlue my credit card company accidentally marked my jet blue tickets as fraud, then corrected their mistake and reposted the money.",0,1,0
183,@united the lack of customer service is astounding https://t.co/72RMpkOGwu #2daysofhell,1,0,0
184,@AmericanAir what do kids aged 11 and 12 need to fly with AA internally within the usa. Thanks for confirming,0,1,0
185,"@united cs thinks that miles can repair the damage done, it will be interesting if they travel in @united and exp the worst flight ever!",1,0,0
186,@united better just keep connection from ORD To FWA that boards in ten minutes open until I get off the plane that just landed an hour Late Flight,1,0,0
187,@SouthwestAir poor performance all around! Paid for Express checkin weeks ago and can't even leverage it #bullshit,1,0,0
188,@AmericanAir crew did the best they could but it was out of their control. You only get one chance of a honeymoon &amp; you failed miserably,1,0,0
189,@AmericanAir  Yes I do bit you don't follow me so I can't DM you,0,1,0
190,"@SouthwestAir - wow! 100 minutes on hold, so far. Now phone is dying...",1,0,0
191,"@USAirways. On hold 2hrs after my flight was Cancelled Flightled &amp; ""Anthony"" was beyond rude and not helpful! @AmericanAir they're weighing you down.",1,0,0
192,@USAirways I found a flight I want on @CheapOair. Is my @AmericanAir AA Advantage # applicable to earn miles on it since you're merging?,0,1,0
193,@JetBlue Beatriz and Susan. Gate 4 MCO.,0,0,1
194,@USAirways @AmericanAir  best u could do-I might get my refund within 2 billing cycles. Months of u guys asking for another chance. I'm done,1,0,0
195,@AmericanAir why is does it seem to be impossible to contact anyone at your airline to get an item left on board a plane 5 min after deplane,1,0,0
196,@AmericanAir Plane Veers Off Runway at Icy Dallas Airport http://t.co/DW6VDvqXBB,0,1,0
197,@SouthwestAir - Hi Janet in customer service. I'm calling you back and have been sitting in que for 40 mins! Plz pick it up!!! #frustrated,1,0,0
198,@AmericanAir TY Can you confirm or deny if AA953 left JFK? I want to figure out if more delays are in store. Internet giving different info.,1,0,0
199,"@JetBlue @JayVig @roxydigital awww ^_^ R to the T, realtime appreciation from JetBlue #rockingthetweets #JVMChat",0,0,1
200,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.,1,0,0
201,@united They inquire and then do nothing about it...pretend they’re interested. Responded to your DM and no response back...,1,0,0
202,@SouthwestAir waited 34 mins for baggage MDW&gt;MEM and the in-flight service was suspended so no drink 😕,1,0,0
203,"@united all good, didn't die or anything. As they say ""you get what you pay for""!",1,0,0
204,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,0,0,1
205,"@AmericanAir I sent you a DM, can you please help.",0,1,0
206,@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer,1,0,0
207,@united I think this is the best first class I have ever gotten!!  Denver to LAX and it's wonderful!!!,0,0,1
208,@united that's wonderful. unfortunately doesn't help on this 4 hr flight between to major U.S. cities. #disappointed,1,0,0
209,@USAirways of course never again tho . Thanks for tweetin ur concern but not Doin anythin to fix what happened. I'll choose wiser next time,1,0,0
210,@AmericanAir since you don't care about what happens to your passengers on your planes we will now be contacting the Police Dept,1,0,0
211,@SouthwestAir want to pick up a customer from @SpiritAirlines sign me up 🙌😏,1,0,0
212,"@SouthwestAir can't checkin online for 2:00 flight tmrw fr. Cancun. ""Undefined error"" &amp; 800# not working.Family of 4 don't want Cgroup! Help",1,0,0
213,"@JetBlue im flying with you from mi-boston and then icelandair to iceland, 8 hours between. can we check our bags all the way?",0,1,0
214,@united is to airlines as @comcast @XFINITY is to cable/internet,1,0,0
215,@JetBlue Hawaii! Get me somewhere warm &amp; I can find some good to do. #FlyItForward,0,0,1
216,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,0,1,0
217,@USAirways Can you guys please give an update?  Been sitting on Tarmac on flight 601 yet the website still says it's on time?,1,0,0
218,@JetBlue Are there issues with the mobile boarding passes? My app keeps crashing when I try accessing. Thanks!,1,0,0
219,"@united UA6255 delayed out of #winnipeg because the plane was ""frozen""! #fail Will I make my connection on UA1059? #tightconnection #Denver",1,0,0
220,"@AmericanAir ""Airport snow removal method #22...""Keep up the good work folks, this is where Cessna's become 747's! http://t.co/oUmC1LrXDN",0,0,1
221,@AmericanAir spoke too soon. 30 min Late Flightr still waiting for bags to load. Some sympathy would be appreciated at the very least.,1,0,0
222,@JetBlue she hung up before I can get name. She took no accountability for keeping me on hold +20min. Next rep was not able to track name,1,0,0
223,"@united I'm counting on you, please don't let me down! #delayed #again #needtocatchmynextflight #alreadyrebookedonce",1,0,0
224,@AmericanAir you set a schedule try and keep it !!! #AAALWAYSLate Flight,0,1,0
225,@SouthwestAir I paid for inflight wifi only for it not to work. Download speed was 0.21mbps &amp; I ended up watching the free TV instead.,1,0,0
226,"@AmericanAir fair enough. But they could have at least told us. Once again it's the lack of communication. Delays happen, just tell me",1,0,0
227,"@SouthwestAir so for an extra luggage, it cost $75????",1,0,0
228,@SouthwestAir I am going to stop flying with you.  Delays everytime.  This time due to paperwork?,1,0,0
229,"@SouthwestAir  Tried to leave Monday, all other planes left but mine. Now this one keeps getting delayed. Missed work. Have to pay for a cab",1,0,0
230,"@united I send you an urgent message via eservice@united.com.  BG0KWM   Narayanan. Please respond ASAP. Also, NO local United Tel # @ KUL",0,1,0
231,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,1,0,0
232,@SouthwestAir Ive had on an airline. Everyone else has been great but she soured the whole experience for me. Hope she's not there next time,1,0,0
233,@JetBlue it's noting about me i m perfectly fine it's the attitude and dealings with flyers. Stubborn. Demanding. Unwilling to accommodate.,1,0,0
234,"@JetBlue @julesdameron ""Considering?"" #Accessibility is an absolute MUST! #Equality",1,0,0
235,@SouthwestAir you're the best,0,0,1
236,@AmericanAir that all AA is for USAir Elite members. It's one big disappointment in the way we are treated. #epicfailure,1,0,0
237,@USAirways if I have Dividend Miles credit card &amp; I used it to book my flight is one bag free?,0,1,0
238,@AmericanAir any idea what's up with flight AA3181?,1,0,0
239,@americanair Yes to the iOS. I'm running iOS 8.1.3,0,1,0
240,@JetBlue thanks for the info... Figured that was the case. Hopefully my new hashtag will change that ;) #ABCLetJetBlueStreamFeed,0,0,1
241,"@United come on, reopen 1285 at ORD and clear your growing DC backlog",1,0,0
242,@SouthwestAir flight just Cancelled Flighted. Can you help me rebook?,1,0,0
243,Why doesn't @AmericanAir allow for conversations between upset customers and their customer service?  #worstcustomerserviceever,1,0,0
244,@united seriously what's with the slow #wifi on this flight! If the speed was going to change for the worse then the price shouldn't go up!,1,0,0
245,@JetBlue thanks. Home to MSY. TSA precheck agents directing people after photo until scan beyond rude. One grabbed and pushed children.,1,0,0
246,@united I had the worst customer experience at Houston intl airport... Your ground support even for @staralliance members is a nightmare,1,0,0
247,@SouthwestAir Cancelled Flightled my flight and I'm stranded in St. Louis. Not sure what to do. No other flight until tomorrow. Am I to sleep in airpt,1,0,0
248,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",1,0,0
249,@USAirways your app sucks balls compared to @AmericanAir,1,0,0
250,@united Rhonda C. at Atlanta airport redeemed you guys. She got us straightened out.,0,0,1
251,@united I Want a Plane dad,0,1,0
252,@united can I request a ticket change through twitter ?,0,1,0
253,@united yes was trying to upgrade my seat. Now there are no available spots,1,0,0
254,@united I have flown with you 10 times in the last 13 days. 8 out of 10 flights have been delayed. Huge mistake on my part. Don't fly united,1,0,0
255,"@USAirways hi!  Could you protect me on US 445 just in case? Still on ground with no checked luggage, but still a chance I can make original",0,1,0
256,@united it can't be delivered. It has to be held there for me to cross the border to pick up. Please don't try to deliver.,0,1,0
257,@JetBlue I will when I land.,0,1,0
258,@SouthwestAir if you guys fuck this up again  I will never forgive you,1,0,0
259,@AmericanAir that doesn't really answer my question. Maybe if I provide more details you can give me clarification...,1,0,0
260,@SouthwestAir Just go ahead and start the scavenger hunt after 5 pm today when work is over ;) #DestinationDragons,0,0,1
261,@united with about 25 people trying to get on flights,0,1,0
262,@southwestair Flight 4146 Phi to Den was staffed by a great crew. #freecomedyshow #newlifetimecustomer,0,0,1
263,@USAirways my bag is still lost and I can not get anyone on the phone to assist me and the tracking updates have stopped,1,0,0
264,@SouthwestAir yeah it happens. The PHX airport has extra long waits all spring long. Something locals know but tourist don't just FYI,0,1,0
265,@AmericanAir pathetic to have your gate agents lie to my face when you are at fault,1,0,0
266,"@AmericanAir seriously, you treat your passengers like shit.",1,0,0
267,@united hello I am flying first class and am behind 20 people on zone 1!!!!!  Pls pass on to app dept - you should board 1st class first,1,0,0
268,YASSSSS. Da Fuccc- RT @JetBlue: Our fleet's on fleek. http://t.co/oAJ5mnuchA,0,1,0
269,@AmericanAir please allow me to speak with someone. A dialogue would solve this issue better and faster than emailing.,1,0,0
270,😂😂 RT @JetBlue: Our fleet's on fleek. http://t.co/rinzYSK6kI,0,1,0
271,@JetBlue No changes made. My son's pass printed on same conf #. Just mine not print after I expressed disapptment w/ JetBlue,1,0,0
272,@JetBlue 653. Just for update that gate got moved to complete opposite end of the terminal. Airline is a disaster.,1,0,0
273,@JetBlue Flight I want to book was $320 one day; went to purchase next day &amp; price doubled to $737. Inquiring on chance it may go down?,0,1,0
274,"@SouthwestAir Katie, Gate C47, Denver International, fantastic customer service helping me and 2 new flyers; thx for amazing staff!",0,0,1
275,"@AmericanAir but, what I can always rely on when I fly USAir or American is that employees will be rude and unhappy.",1,0,0
276,"@AmericanAir Flight for tomorrow has already been Cancelled Flightled, what do I do now?",1,0,0
277,"@USAirways Made about 30 calls to USAir today to merge of AAdvantage, Dividend Miles. Each time, says call back Late Flightr. #30timesenough",1,0,0
278,@united That was the problem.  We were being told the aircraft was on its way.,1,0,0
279,@AmericanAir boarding in 2mins YAY!!!!,0,1,0
280,@AmericanAir You've now put me on a BA flight - can I get access for 2 for the lounge? Been at ORD for 11.5 hrs now and still have 5 to go.,1,0,0
281,@AmericanAir  You can't get us to Cincy but our luggage will still go there tonight? Stranded us in Dallas for 2 days w/o clothes? #Yousuck,1,0,0
282,@USAirways Southern Hospitality luggage delivery service from SAV is AWFUL. Great @ delivering empty promises but not luggage #8hrs&amp;waiting,1,0,0
283,"@united Will do, cheers",0,1,0
